model,seed,trainable_parameters,test_accuracy,test_loss,validation_accuracy,validation_loss,run_duration_seconds
lenet,7,61706,0.9667,0.11027714809179306,0.9651,0.12085536410808563,93.21566650015302
lenet,21,61706,0.9698,0.10243524742126466,0.9644,0.11750868932008743,91.75619629980065
lenet,42,61706,0.9662,0.109922931265831,0.9641,0.12156057957410812,92.52849170006812
lenet,84,61706,0.9657,0.1189136381983757,0.9652,0.1237359881401062,87.73192010005005
lenet,168,61706,0.9719,0.09764205542504788,0.9676,0.11372107158899307,87.89176629995927
mlp-matched,7,61706,0.9572,0.14806909989118577,0.9525,0.15649929723739625,72.61942490004003
mlp-matched,21,61706,0.9572,0.14282228780090808,0.9552,0.15258049216270447,71.30837929993868
mlp-matched,42,61706,0.9577,0.14556248733401297,0.9559,0.15333644279241562,70.48928910004906
mlp-matched,84,61706,0.9579,0.14302134393453597,0.9552,0.15276295428276063,70.64551310008392
mlp-matched,168,61706,0.9578,0.14213138137757778,0.9565,0.15032050037384034,53.884166000178084
