step,key,value,unit,source
0,train.loss,2.329684257507324,cross_entropy,EXPERIMENT
0,train.accuracy,0.0,fraction,EXPERIMENT
50,validation.loss,1.90081429977417,cross_entropy,EXPERIMENT
50,validation.accuracy,0.4952,fraction,EXPERIMENT
50,train.loss,1.8826310634613037,cross_entropy,EXPERIMENT
50,train.accuracy,0.53125,fraction,EXPERIMENT
100,validation.loss,0.8351160907745361,cross_entropy,EXPERIMENT
100,validation.accuracy,0.7776,fraction,EXPERIMENT
100,train.loss,0.8626288771629333,cross_entropy,EXPERIMENT
100,train.accuracy,0.78125,fraction,EXPERIMENT
150,validation.loss,0.5226218748092651,cross_entropy,EXPERIMENT
150,validation.accuracy,0.8583,fraction,EXPERIMENT
150,train.loss,0.6356812715530396,cross_entropy,EXPERIMENT
150,train.accuracy,0.796875,fraction,EXPERIMENT
200,validation.loss,0.4059285962104797,cross_entropy,EXPERIMENT
200,validation.accuracy,0.8859,fraction,EXPERIMENT
200,train.loss,0.5535982847213745,cross_entropy,EXPERIMENT
200,train.accuracy,0.84375,fraction,EXPERIMENT
250,validation.loss,0.3480318447589874,cross_entropy,EXPERIMENT
250,validation.accuracy,0.9,fraction,EXPERIMENT
250,train.loss,0.32815438508987427,cross_entropy,EXPERIMENT
250,train.accuracy,0.890625,fraction,EXPERIMENT
300,validation.loss,0.3071842661857605,cross_entropy,EXPERIMENT
300,validation.accuracy,0.9113,fraction,EXPERIMENT
300,train.loss,0.20285660028457642,cross_entropy,EXPERIMENT
300,train.accuracy,0.96875,fraction,EXPERIMENT
313,train.epoch_loss,0.8711724470853806,cross_entropy,EXPERIMENT
313,train.epoch_accuracy,0.742225,fraction,EXPERIMENT
313,validation.loss,0.3024881368637085,cross_entropy,EXPERIMENT
313,validation.accuracy,0.9075,fraction,EXPERIMENT
313,performance.examples_per_second,1419.8771657266236,examples/second,EXPERIMENT
313,performance.epoch_duration_seconds,28.171450999798253,seconds,EXPERIMENT
313,system.cpu.percent,100.0,percent,SYSTEM
313,system.memory.used_mb,371.12890625,MB,SYSTEM
350,validation.loss,0.27826070432662964,cross_entropy,EXPERIMENT
350,validation.accuracy,0.9176,fraction,EXPERIMENT
350,train.loss,0.2292564958333969,cross_entropy,EXPERIMENT
350,train.accuracy,0.9140625,fraction,EXPERIMENT
400,validation.loss,0.2508775239467621,cross_entropy,EXPERIMENT
400,validation.accuracy,0.9238,fraction,EXPERIMENT
400,train.loss,0.24321706593036652,cross_entropy,EXPERIMENT
400,train.accuracy,0.9375,fraction,EXPERIMENT
450,validation.loss,0.2300895344257355,cross_entropy,EXPERIMENT
450,validation.accuracy,0.9326,fraction,EXPERIMENT
450,train.loss,0.3114685118198395,cross_entropy,EXPERIMENT
450,train.accuracy,0.8828125,fraction,EXPERIMENT
500,validation.loss,0.20806154084205628,cross_entropy,EXPERIMENT
500,validation.accuracy,0.9372,fraction,EXPERIMENT
500,train.loss,0.1889253407716751,cross_entropy,EXPERIMENT
500,train.accuracy,0.9375,fraction,EXPERIMENT
550,validation.loss,0.18955079412460327,cross_entropy,EXPERIMENT
550,validation.accuracy,0.9425,fraction,EXPERIMENT
550,train.loss,0.160380557179451,cross_entropy,EXPERIMENT
550,train.accuracy,0.9609375,fraction,EXPERIMENT
600,validation.loss,0.17735978269577027,cross_entropy,EXPERIMENT
600,validation.accuracy,0.9465,fraction,EXPERIMENT
600,train.loss,0.19757133722305298,cross_entropy,EXPERIMENT
600,train.accuracy,0.9453125,fraction,EXPERIMENT
626,train.epoch_loss,0.225440935587883,cross_entropy,EXPERIMENT
626,train.epoch_accuracy,0.935175,fraction,EXPERIMENT
626,validation.loss,0.17045084717273712,cross_entropy,EXPERIMENT
626,validation.accuracy,0.9479,fraction,EXPERIMENT
626,performance.examples_per_second,1367.0917127896932,examples/second,EXPERIMENT
626,performance.epoch_duration_seconds,29.25919280014932,seconds,EXPERIMENT
626,system.cpu.percent,100.0,percent,SYSTEM
626,system.memory.used_mb,375.1796875,MB,SYSTEM
650,validation.loss,0.16529270032644272,cross_entropy,EXPERIMENT
650,validation.accuracy,0.9507,fraction,EXPERIMENT
650,train.loss,0.14872530102729797,cross_entropy,EXPERIMENT
650,train.accuracy,0.953125,fraction,EXPERIMENT
700,validation.loss,0.1580635933160782,cross_entropy,EXPERIMENT
700,validation.accuracy,0.9503,fraction,EXPERIMENT
700,train.loss,0.1496453881263733,cross_entropy,EXPERIMENT
700,train.accuracy,0.9609375,fraction,EXPERIMENT
750,validation.loss,0.14892928433418273,cross_entropy,EXPERIMENT
750,validation.accuracy,0.9551,fraction,EXPERIMENT
750,train.loss,0.14476025104522705,cross_entropy,EXPERIMENT
750,train.accuracy,0.9296875,fraction,EXPERIMENT
800,validation.loss,0.13305382024049758,cross_entropy,EXPERIMENT
800,validation.accuracy,0.9584,fraction,EXPERIMENT
800,train.loss,0.1134999692440033,cross_entropy,EXPERIMENT
800,train.accuracy,0.9765625,fraction,EXPERIMENT
850,validation.loss,0.12994081376194955,cross_entropy,EXPERIMENT
850,validation.accuracy,0.9601,fraction,EXPERIMENT
850,train.loss,0.1897543966770172,cross_entropy,EXPERIMENT
850,train.accuracy,0.9453125,fraction,EXPERIMENT
900,validation.loss,0.11770252536535263,cross_entropy,EXPERIMENT
900,validation.accuracy,0.9665,fraction,EXPERIMENT
900,train.loss,0.08500047773122787,cross_entropy,EXPERIMENT
900,train.accuracy,0.9765625,fraction,EXPERIMENT
939,train.epoch_loss,0.13689832463860513,cross_entropy,EXPERIMENT
939,train.epoch_accuracy,0.959775,fraction,EXPERIMENT
939,validation.loss,0.11372107158899307,cross_entropy,EXPERIMENT
939,validation.accuracy,0.9676,fraction,EXPERIMENT
939,performance.examples_per_second,1399.5551122197503,examples/second,EXPERIMENT
939,performance.epoch_duration_seconds,28.580510800005868,seconds,EXPERIMENT
939,system.cpu.percent,100.0,percent,SYSTEM
939,system.memory.used_mb,375.74609375,MB,SYSTEM
940,test.loss,0.09764205542504788,cross_entropy,EXPERIMENT
940,test.accuracy,0.9719,fraction,EXPERIMENT
940,performance.run_duration_seconds,87.89176629995927,seconds,EXPERIMENT
