digit,precision,recall,f1
0,0.9651046859421735,0.9877551020408163,0.9762985375693395
1,0.984182776801406,0.986784140969163,0.985481742190937
2,0.9654178674351584,0.9738372093023255,0.9696092619392185
3,0.9644970414201184,0.9683168316831683,0.966403162055336
4,0.9668341708542714,0.9796334012219959,0.9731917046029337
5,0.9721293199554069,0.9775784753363229,0.9748462828395751
6,0.972972972972973,0.9770354906054279,0.975
7,0.9601941747572815,0.9620622568093385,0.9611273080660836
8,0.9726027397260274,0.9476386036960985,0.9599583983359334
9,0.9732234809474768,0.9365708622398414,0.9545454545454545
