digit,precision,recall,f1
0,0.9583333333333334,0.9857142857142858,0.971830985915493
1,0.9807355516637478,0.986784140969163,0.9837505489679402
2,0.9447092469018112,0.9602713178294574,0.9524267179240751
3,0.950544015825915,0.9514851485148514,0.9510143493320138
4,0.9556451612903226,0.9653767820773931,0.96048632218845
5,0.9340659340659341,0.952914798206278,0.9433962264150944
6,0.9600420609884333,0.9530271398747391,0.9565217391304347
7,0.9587020648967551,0.9484435797665369,0.9535452322738387
8,0.9569779643231899,0.9363449691991786,0.9465490399584846
9,0.96794208893485,0.9276511397423192,0.9473684210526316
