step,key,value,unit,source
0,train.loss,2.3128325939178467,cross_entropy,EXPERIMENT
0,train.accuracy,0.0859375,fraction,EXPERIMENT
50,validation.loss,1.2435365379333496,cross_entropy,EXPERIMENT
50,validation.accuracy,0.711,fraction,EXPERIMENT
50,train.loss,1.2781344652175903,cross_entropy,EXPERIMENT
50,train.accuracy,0.7109375,fraction,EXPERIMENT
100,validation.loss,0.5928336290359497,cross_entropy,EXPERIMENT
100,validation.accuracy,0.8515,fraction,EXPERIMENT
100,train.loss,0.5740103125572205,cross_entropy,EXPERIMENT
100,train.accuracy,0.828125,fraction,EXPERIMENT
150,validation.loss,0.4145118448257446,cross_entropy,EXPERIMENT
150,validation.accuracy,0.8876,fraction,EXPERIMENT
150,train.loss,0.3843837380409241,cross_entropy,EXPERIMENT
150,train.accuracy,0.875,fraction,EXPERIMENT
200,validation.loss,0.3431375297546387,cross_entropy,EXPERIMENT
200,validation.accuracy,0.904,fraction,EXPERIMENT
200,train.loss,0.49615758657455444,cross_entropy,EXPERIMENT
200,train.accuracy,0.8671875,fraction,EXPERIMENT
250,validation.loss,0.3075838091850281,cross_entropy,EXPERIMENT
250,validation.accuracy,0.9099,fraction,EXPERIMENT
250,train.loss,0.21839754283428192,cross_entropy,EXPERIMENT
250,train.accuracy,0.953125,fraction,EXPERIMENT
300,validation.loss,0.28164947700500487,cross_entropy,EXPERIMENT
300,validation.accuracy,0.9176,fraction,EXPERIMENT
300,train.loss,0.37370139360427856,cross_entropy,EXPERIMENT
300,train.accuracy,0.8984375,fraction,EXPERIMENT
313,train.epoch_loss,0.6844899759531021,cross_entropy,EXPERIMENT
313,train.epoch_accuracy,0.8234,fraction,EXPERIMENT
313,validation.loss,0.27149520704746244,cross_entropy,EXPERIMENT
313,validation.accuracy,0.9211,fraction,EXPERIMENT
313,performance.examples_per_second,1814.0152313319654,examples/second,EXPERIMENT
313,performance.epoch_duration_seconds,22.050531500019133,seconds,EXPERIMENT
313,system.cpu.percent,100.0,percent,SYSTEM
313,system.memory.used_mb,358.35546875,MB,SYSTEM
350,validation.loss,0.26148361229896544,cross_entropy,EXPERIMENT
350,validation.accuracy,0.921,fraction,EXPERIMENT
350,train.loss,0.4223872423171997,cross_entropy,EXPERIMENT
350,train.accuracy,0.890625,fraction,EXPERIMENT
400,validation.loss,0.23652553324699402,cross_entropy,EXPERIMENT
400,validation.accuracy,0.9331,fraction,EXPERIMENT
400,train.loss,0.2348320037126541,cross_entropy,EXPERIMENT
400,train.accuracy,0.9375,fraction,EXPERIMENT
450,validation.loss,0.22370833878517152,cross_entropy,EXPERIMENT
450,validation.accuracy,0.9342,fraction,EXPERIMENT
450,train.loss,0.15700510144233704,cross_entropy,EXPERIMENT
450,train.accuracy,0.9609375,fraction,EXPERIMENT
500,validation.loss,0.2144387631058693,cross_entropy,EXPERIMENT
500,validation.accuracy,0.9366,fraction,EXPERIMENT
500,train.loss,0.31802600622177124,cross_entropy,EXPERIMENT
500,train.accuracy,0.921875,fraction,EXPERIMENT
550,validation.loss,0.2013969595193863,cross_entropy,EXPERIMENT
550,validation.accuracy,0.9402,fraction,EXPERIMENT
550,train.loss,0.14442364871501923,cross_entropy,EXPERIMENT
550,train.accuracy,0.953125,fraction,EXPERIMENT
600,validation.loss,0.19165631237030029,cross_entropy,EXPERIMENT
600,validation.accuracy,0.9434,fraction,EXPERIMENT
600,train.loss,0.11542323976755142,cross_entropy,EXPERIMENT
600,train.accuracy,0.96875,fraction,EXPERIMENT
626,train.epoch_loss,0.2134863729953766,cross_entropy,EXPERIMENT
626,train.epoch_accuracy,0.93905,fraction,EXPERIMENT
626,validation.loss,0.18545139079093934,cross_entropy,EXPERIMENT
626,validation.accuracy,0.9466,fraction,EXPERIMENT
626,performance.examples_per_second,1707.207101961848,examples/second,EXPERIMENT
626,performance.epoch_duration_seconds,23.430080600082874,seconds,EXPERIMENT
626,system.cpu.percent,100.0,percent,SYSTEM
626,system.memory.used_mb,358.61328125,MB,SYSTEM
650,validation.loss,0.1815621576309204,cross_entropy,EXPERIMENT
650,validation.accuracy,0.9477,fraction,EXPERIMENT
650,train.loss,0.2741354703903198,cross_entropy,EXPERIMENT
650,train.accuracy,0.921875,fraction,EXPERIMENT
700,validation.loss,0.17988267199993133,cross_entropy,EXPERIMENT
700,validation.accuracy,0.9472,fraction,EXPERIMENT
700,train.loss,0.1549718677997589,cross_entropy,EXPERIMENT
700,train.accuracy,0.953125,fraction,EXPERIMENT
750,validation.loss,0.17417095437049865,cross_entropy,EXPERIMENT
